date,district,crop_type,temperature_c,humidity_pct,rainfall_mm,evapotranspiration_mm,canal_flow_cusecs,soil_moisture_pct,sensor_fault_type,was_imputed,month,day_of_year,irrigation_recommendation_mm
2022-01-01,Lahore,sugarcane,13.65,58.02,1.9,1.15,389.9,25.41,none,0,1,1,9.4
2022-01-02,Lahore,cotton,15.36,47.79,1.18,0.8,452.9,24.39,none,0,1,2,10.1
2022-01-03,Lahore,maize,12.36,54.46,3.21,1.31,409.8,33.07,none,0,1,3,2.2
2022-01-04,Lahore,sugarcane,12.51,63.76,2.39,1.66,447.2,28.41,none,0,1,4,7.1
2022-01-05,Lahore,wheat,14.77,56.45,0.74,2.18,415.3,27.44,none,0,1,5,9.3
2022-01-06,Lahore,maize,13.66,60.39,1.57,1.94,444.1,24.9,none,0,1,6,11.0
2022-01-07,Lahore,sugarcane,15.02,53.21,0.18,1.08,415.5,29.31,none,0,1,7,6.5
2022-01-08,Lahore,sugarcane,14.09,64.36,1.81,1.35,426.7,26.18,none,0,1,8,9.0
2022-01-09,Lahore,wheat,15.23,57.86,0.17,1.03,421.5,26.47,none,0,1,9,8.9
2022-01-10,Lahore,cotton,12.69,59.43,0.03,1.05,417.1,29.03,none,0,1,10,6.7
2022-01-11,Lahore,cotton,14.3,67.4,0.77,0.2,408.8,23.18,none,0,1,11,10.6
2022-01-12,Lahore,maize,14.08,63.99,0.65,0.59,393.5,32.11,none,0,1,12,3.1
2022-01-13,Lahore,rice,12.65,56.53,1.7,0.73,439.7,28.79,none,0,1,13,5.9
2022-01-14,Lahore,maize,12.22,55.21,0.13,1.52,374.1,29.67,none,0,1,14,6.7
2022-01-15,Lahore,cotton,15.68,56.11,3.44,1.95,392.5,23.0,none,0,1,15,12.0
2022-01-16,Lahore,wheat,14.21,59.28,2.75,1.31,390.6,24.02,none,0,1,16,10.5
2022-01-17,Lahore,rice,13.3,56.64,4.16,0.49,397.3,24.55,none,0,1,17,8.4
2022-01-18,Lahore,wheat,14.78,55.31,0.15,1.3,376.5,26.88,none,0,1,18,8.9
2022-01-19,Lahore,maize,16.72,62.59,0.64,1.01,391.2,27.01,none,0,1,19,8.2
2022-01-20,Lahore,rice,11.71,56.09,0.28,1.39,378.3,24.69,none,0,1,20,11.0
2022-01-21,Lahore,sugarcane,12.99,65.58,0.37,1.26,344.5,22.52,none,0,1,21,12.7
2022-01-22,Lahore,cotton,13.96,56.57,0.87,1.79,378.4,21.93,none,0,1,22,13.7
2022-01-23,Lahore,maize,17.64,63.18,0.46,1.11,351.4,25.73,none,0,1,23,9.6
2022-01-24,Lahore,maize,15.99,57.29,0.37,0.2,335.2,25.14,none,0,1,24,9.0
2022-01-25,Lahore,sugarcane,16.83,59.54,0.67,0.66,375.4,24.82,none,0,1,25,9.8
2022-01-26,Lahore,wheat,14.09,52.62,1.15,2.19,381.4,30.03,none,0,1,26,6.9
2022-01-27,Lahore,cotton,14.25,51.94,0.28,1.34,380.4,25.93,none,0,1,27,9.8
2022-01-28,Lahore,wheat,16.72,57.02,0.61,1.28,379.5,30.08,none,0,1,28,5.9
2022-01-29,Lahore,wheat,16.27,58.97,0.94,2.31,321.5,22.43,none,0,1,29,13.9
2022-01-30,Lahore,sugarcane,17.14,55.01,3.1,2.45,332.5,25.15,none,0,1,30,10.8
2022-01-31,Lahore,sugarcane,16.17,49.53,1.15,1.96,405.8,25.97,none,0,1,31,10.2
2022-02-01,Lahore,maize,17.0,49.07,4.15,1.95,336.1,20.11,none,0,2,32,14.3
2022-02-02,Lahore,wheat,16.96,48.64,4.48,2.05,371.7,30.14,none,0,2,33,5.2
2022-02-03,Lahore,cotton,18.03,47.11,0.32,2.46,340.8,23.75,none,0,2,34,13.2
2022-02-04,Lahore,cotton,18.22,54.45,0.15,2.81,356.4,26.3,none,0,2,35,11.4
2022-02-05,Lahore,wheat,14.73,58.35,4.42,1.5,338.7,23.53,none,0,2,36,10.5
2022-02-06,Lahore,wheat,13.94,53.63,3.64,1.77,364.0,23.53,missing_sensor,1,2,37,11.2
2022-02-07,Lahore,cotton,18.96,44.48,6.22,3.2,352.9,21.87,none,0,2,38,13.5
2022-02-08,Lahore,wheat,19.39,52.6,2.14,1.69,338.2,28.93,none,0,2,39,6.8
2022-02-09,Lahore,sugarcane,16.24,52.55,0.16,2.19,323.1,25.02,none,0,2,40,11.8
2022-02-10,Lahore,cotton,15.14,61.43,1.42,1.05,351.3,27.18,none,0,2,41,7.8
2022-02-11,Lahore,maize,18.24,47.06,1.13,1.12,316.5,29.34,none,0,2,42,6.1
2022-02-12,Lahore,sugarcane,19.65,51.17,2.62,1.32,352.0,29.45,none,0,2,43,5.7
2022-02-13,Lahore,wheat,21.12,59.4,0.32,1.69,400.1,28.49,none,0,2,44,7.9
2022-02-14,Lahore,maize,19.36,54.22,0.29,2.46,370.0,20.47,none,0,2,45,16.2
2022-02-15,Lahore,maize,18.2,54.53,1.28,2.06,354.5,22.93,none,0,2,46,13.0
2022-02-16,Lahore,cotton,17.59,52.58,0.2,2.1,335.1,22.93,missing_sensor,1,2,47,13.5
2022-02-17,Lahore,wheat,19.12,53.29,0.21,3.18,292.2,24.56,none,0,2,48,13.4
2022-02-18,Lahore,sugarcane,18.83,54.93,3.47,1.44,304.8,25.54,time_skew,0,2,49,9.0
2022-02-19,Lahore,wheat,17.93,48.44,4.1,2.25,362.2,21.21,none,0,2,50,13.7
2022-02-20,Lahore,wheat,22.71,55.05,3.1,2.81,314.5,23.1,none,0,2,51,13.1
2022-02-21,Lahore,wheat,22.49,45.9,1.96,2.71,315.4,19.14,none,0,2,52,17.0
2022-02-22,Lahore,sugarcane,21.7,52.56,0.59,2.64,326.3,23.55,none,0,2,53,13.5
2022-02-23,Lahore,sugarcane,18.8,51.82,0.6,1.43,305.1,19.65,none,0,2,54,15.4
2022-02-24,Lahore,sugarcane,21.65,48.5,2.81,3.53,300.4,24.14,none,0,2,55,13.2
2022-02-25,Lahore,sugarcane,21.52,50.74,5.25,2.35,325.9,25.85,none,0,2,56,9.2
2022-02-26,Lahore,cotton,21.41,48.21,0.01,3.82,306.0,27.65,none,0,2,57,11.6
2022-02-27,Lahore,rice,22.81,46.28,7.26,3.09,308.5,26.4,none,0,2,58,8.9
2022-02-28,Lahore,wheat,22.08,49.02,0.32,3.37,306.7,21.2,none,0,2,59,16.7
2022-03-01,Lahore,wheat,22.43,45.89,2.65,3.04,335.2,26.21,none,0,3,60,10.8
2022-03-02,Lahore,sugarcane,22.47,51.47,0.36,2.78,317.4,19.15,none,0,3,61,17.7
2022-03-03,Lahore,cotton,22.22,45.46,0.68,2.77,317.9,20.53,none,0,3,62,16.4
2022-03-04,Lahore,rice,19.23,52.78,1.55,2.3,334.6,25.39,time_skew,0,3,63,11.0
2022-03-05,Lahore,sugarcane,22.23,45.09,0.42,3.24,317.3,16.37,none,0,3,64,20.8
2022-03-06,Lahore,rice,21.47,47.43,3.65,2.46,313.6,24.01,none,0,3,65,11.6
2022-03-07,Lahore,rice,20.58,47.08,0.23,2.67,329.9,20.63,none,0,3,66,16.3
2022-03-08,Lahore,rice,25.22,54.76,0.1,2.74,333.8,23.98,none,0,3,67,13.4
2022-03-09,Lahore,wheat,25.5,50.67,4.81,4.44,314.9,18.9,none,0,3,68,18.3
2022-03-10,Lahore,wheat,25.14,48.39,2.47,3.31,319.5,24.4,none,0,3,69,12.9
2022-03-11,Lahore,cotton,23.69,51.13,0.71,3.77,299.7,22.01,none,0,3,70,16.3
2022-03-12,Lahore,wheat,25.54,40.6,0.96,3.7,297.5,26.22,none,0,3,71,12.3
2022-03-13,Lahore,cotton,23.73,48.75,1.63,3.25,333.8,23.36,none,0,3,72,14.0
2022-03-14,Lahore,maize,24.22,56.82,2.41,2.13,326.2,22.24,time_skew,0,3,73,13.3
2022-03-15,Lahore,wheat,22.48,49.26,0.71,2.69,326.1,22.93,none,0,3,74,14.1
2022-03-16,Lahore,wheat,24.92,48.9,1.53,3.4,322.0,18.9,none,0,3,75,18.3
2022-03-17,Lahore,wheat,24.62,50.73,0.47,3.95,316.5,23.27,none,0,3,76,15.5
2022-03-18,Lahore,wheat,22.79,52.03,0.05,2.93,330.9,25.18,none,0,3,77,12.6
2022-03-19,Lahore,sugarcane,24.87,40.37,2.72,4.4,336.2,29.69,none,0,3,78,9.4
2022-03-20,Lahore,rice,25.03,41.55,0.16,4.0,335.6,20.47,none,0,3,79,18.2
2022-03-21,Lahore,sugarcane,28.05,49.03,0.03,4.57,312.7,20.43,none,0,3,80,19.0
2022-03-22,Lahore,sugarcane,26.91,45.25,3.28,3.74,346.2,21.57,none,0,3,81,15.6
2022-03-23,Lahore,cotton,25.79,53.28,3.46,4.4,320.2,22.72,none,0,3,82,15.4
2022-03-24,Lahore,maize,26.35,46.7,0.89,3.37,329.3,24.15,none,0,3,83,13.8
2022-03-25,Lahore,wheat,26.25,40.15,1.22,3.55,321.6,22.55,none,0,3,84,15.3
2022-03-26,Lahore,wheat,26.09,42.75,0.67,3.17,320.9,26.29,none,0,3,85,11.7
2022-03-27,Lahore,wheat,24.97,36.75,0.8,5.07,299.0,18.67,none,0,3,86,21.0
2022-03-28,Lahore,sugarcane,26.57,46.75,0.42,4.06,331.6,25.19,none,0,3,87,13.9
2022-03-29,Lahore,cotton,25.89,46.87,0.37,3.37,380.1,25.56,none,0,3,88,12.7
2022-03-30,Lahore,wheat,25.33,45.87,0.62,4.13,307.9,21.67,none,0,3,89,17.1
2022-03-31,Lahore,rice,28.18,51.83,2.69,3.98,318.3,21.45,none,0,3,90,16.3
2022-04-01,Lahore,wheat,28.2,52.25,4.81,4.6,307.1,29.08,none,0,4,91,9.4
2022-04-02,Lahore,sugarcane,25.14,46.73,2.42,2.66,306.6,21.12,none,0,4,92,15.0
2022-04-03,Lahore,cotton,27.84,38.82,1.84,4.1,352.8,23.71,none,0,4,93,14.8
2022-04-04,Lahore,cotton,29.72,49.79,0.98,3.74,303.4,19.85,none,0,4,94,18.1
2022-04-05,Lahore,wheat,30.01,49.5,0.51,3.04,308.4,28.26,none,0,4,95,9.8
2022-04-06,Lahore,rice,30.16,48.47,1.51,4.63,283.9,23.47,none,0,4,96,15.8
2022-04-07,Lahore,cotton,28.88,51.13,0.1,3.64,303.2,20.04,none,0,4,97,18.2
2022-04-08,Lahore,wheat,27.75,42.51,5.79,4.41,282.5,23.21,none,0,4,98,14.0
2022-04-09,Lahore,wheat,27.59,55.17,1.85,4.56,335.9,22.75,none,0,4,99,16.2
2022-04-10,Lahore,maize,29.93,43.27,3.16,4.15,385.4,22.07,none,0,4,100,15.8
2022-04-11,Lahore,maize,30.18,50.08,0.02,3.81,314.9,24.38,none,0,4,101,14.5
2022-04-12,Lahore,sugarcane,31.73,40.32,0.16,4.8,286.5,21.64,none,0,4,102,18.2
2022-04-13,Lahore,wheat,31.64,43.33,2.14,5.07,345.1,22.29,none,0,4,103,17.2
2022-04-14,Lahore,maize,29.99,53.1,0.04,3.56,309.4,22.15,none,0,4,104,16.2
2022-04-15,Lahore,sugarcane,28.51,45.98,1.15,3.66,355.9,24.56,none,0,4,105,13.7
2022-04-16,Lahore,sugarcane,30.08,50.37,0.38,4.52,321.3,22.2,none,0,4,106,17.3
2022-04-17,Lahore,cotton,31.07,47.95,0.56,4.45,314.4,21.65,none,0,4,107,17.6
2022-04-18,Lahore,wheat,30.63,46.58,1.87,3.24,325.6,21.3,none,0,4,108,15.8
2022-04-19,Lahore,wheat,30.25,52.46,0.41,3.3,347.7,28.47,none,0,4,109,10.0
2022-04-20,Lahore,maize,31.68,46.06,0.57,5.2,326.7,17.75,none,0,4,110,22.1
2022-04-21,Lahore,cotton,30.72,39.88,1.44,4.81,321.8,22.64,none,0,4,111,16.8
2022-04-22,Lahore,wheat,30.71,43.8,0.26,4.04,329.6,21.23,none,0,4,112,17.5
2022-04-23,Lahore,wheat,32.3,49.23,1.83,4.3,306.7,26.96,none,0,4,113,12.1
2022-04-24,Lahore,rice,31.4,48.62,2.83,4.29,345.5,19.91,none,0,4,114,18.0
2022-04-25,Lahore,wheat,32.55,40.79,3.59,5.21,297.6,18.55,none,0,4,115,20.1
2022-04-26,Lahore,maize,32.76,44.18,1.13,4.03,329.2,19.41,none,0,4,116,18.8
2022-04-27,Lahore,sugarcane,30.81,44.78,0.38,3.96,357.6,23.82,none,0,4,117,15.1
2022-04-28,Lahore,sugarcane,31.96,45.67,0.27,4.65,348.7,17.78,none,0,4,118,21.4
2022-04-29,Lahore,cotton,35.01,41.65,0.27,5.12,356.6,20.11,none,0,4,119,20.0
2022-04-30,Lahore,rice,31.27,44.68,0.05,4.74,343.2,15.2,none,0,4,120,24.0
2022-05-01,Lahore,rice,30.0,44.31,2.02,3.67,372.5,24.44,none,0,5,121,13.5
2022-05-02,Lahore,rice,30.54,50.35,1.0,4.24,368.5,21.35,none,0,5,122,17.4
2022-05-03,Lahore,wheat,33.53,50.54,3.28,5.05,359.2,17.66,none,0,5,123,20.9
2022-05-04,Lahore,cotton,33.68,46.76,0.19,4.96,371.6,25.26,none,0,5,124,15.1
2022-05-05,Lahore,wheat,33.61,45.82,4.57,4.82,369.2,18.85,none,0,5,125,19.0
2022-05-06,Lahore,cotton,35.76,48.0,0.86,4.92,344.1,23.99,none,0,5,126,15.9
2022-05-07,Lahore,wheat,30.07,44.23,0.18,3.88,325.4,20.16,none,0,5,127,18.3
2022-05-08,Lahore,wheat,34.82,42.96,0.03,5.04,366.8,26.6,none,0,5,128,14.1
2022-05-09,Lahore,wheat,36.71,43.84,0.33,5.94,371.3,23.19,none,0,5,129,18.2
2022-05-10,Lahore,rice,32.81,45.13,2.85,4.61,385.3,20.04,none,0,5,130,18.3
2022-05-11,Lahore,wheat,34.07,43.07,0.33,4.51,341.4,19.16,none,0,5,131,20.0
2022-05-12,Lahore,maize,33.64,48.44,1.84,4.38,343.9,19.16,missing_sensor,1,5,132,19.2
2022-05-13,Lahore,rice,33.56,50.78,0.12,4.6,376.4,21.7,none,0,5,133,17.9
2022-05-14,Lahore,wheat,34.54,41.58,0.87,4.91,366.3,21.54,none,0,5,134,18.2
2022-05-15,Lahore,rice,37.29,48.11,1.47,5.43,327.3,24.61,none,0,5,135,15.8
2022-05-16,Lahore,wheat,38.03,47.2,2.62,5.61,380.1,19.58,none,0,5,136,20.1
2022-05-17,Lahore,maize,34.89,49.53,1.62,5.2,331.9,21.43,none,0,5,137,18.3
2022-05-18,Lahore,cotton,38.36,48.19,0.07,6.06,354.2,23.3,time_skew,0,5,138,18.4
2022-05-19,Lahore,sugarcane,35.67,42.51,2.26,5.72,407.8,24.63,none,0,5,139,15.9
2022-05-20,Lahore,wheat,38.36,43.37,0.01,5.12,420.4,22.3,none,0,5,140,18.1
2022-05-21,Lahore,cotton,35.69,48.62,0.3,4.47,354.0,21.34,none,0,5,141,18.0
2022-05-22,Lahore,cotton,36.13,52.71,3.6,4.75,376.0,17.62,none,0,5,142,20.4
2022-05-23,Lahore,maize,36.59,39.84,1.88,5.27,386.4,19.04,none,0,5,143,20.5
2022-05-24,Lahore,rice,40.9,50.17,1.76,5.06,427.5,24.21,none,0,5,144,15.6
2022-05-25,Lahore,cotton,37.51,53.65,1.05,4.72,378.4,22.12,none,0,5,145,17.3
2022-05-26,Lahore,wheat,35.26,48.38,1.82,4.63,380.9,23.02,none,0,5,146,16.1
2022-05-27,Lahore,wheat,37.86,51.3,0.3,4.78,428.6,26.48,none,0,5,147,13.8
2022-05-28,Lahore,rice,35.95,46.39,1.16,4.92,387.4,18.95,none,0,5,148,20.4
2022-05-29,Lahore,cotton,35.84,48.83,0.67,5.52,414.2,21.6,none,0,5,149,19.0
2022-05-30,Lahore,wheat,38.01,42.94,0.59,5.65,366.9,21.77,none,0,5,150,19.0
2022-05-31,Lahore,maize,36.77,40.16,1.6,6.74,398.4,18.68,none,0,5,151,22.8
2022-06-01,Lahore,maize,37.21,53.42,0.43,5.0,367.1,26.21,none,0,6,152,14.2
2022-06-02,Lahore,wheat,36.89,45.83,1.44,5.1,382.9,24.99,none,0,6,153,15.1
2022-06-03,Lahore,rice,37.43,48.07,0.79,5.21,427.7,23.81,none,0,6,154,16.5
2022-06-04,Lahore,wheat,37.63,44.46,7.41,5.55,410.0,28.59,none,0,6,155,10.0
2022-06-05,Lahore,sugarcane,34.14,44.49,0.4,5.11,406.1,18.06,none,0,6,156,21.7
2022-06-06,Lahore,wheat,38.1,49.56,0.11,6.28,398.7,21.06,none,0,6,157,20.7
2022-06-07,Lahore,sugarcane,35.68,47.47,3.32,4.56,412.8,24.84,none,0,6,158,13.7
2022-06-08,Lahore,sugarcane,35.04,52.03,5.12,5.08,426.8,24.84,stuck_sensor,1,6,159,13.7
2022-06-09,Lahore,sugarcane,37.16,52.46,1.69,5.05,444.4,24.48,none,0,6,160,15.4
2022-06-10,Lahore,wheat,37.41,52.07,0.07,4.22,365.5,19.36,none,0,6,161,19.5
2022-06-11,Lahore,maize,36.28,51.87,0.03,5.23,408.2,24.48,none,0,6,162,16.3
2022-06-12,Lahore,wheat,38.6,57.37,0.16,5.56,432.8,25.74,none,0,6,163,15.5
2022-06-13,Lahore,wheat,35.37,46.93,3.18,4.53,429.3,24.89,none,0,6,164,13.7
2022-06-14,Lahore,rice,36.8,51.12,5.28,4.96,442.9,18.64,none,0,6,165,19.1
2022-06-15,Lahore,cotton,36.56,56.01,0.23,3.82,442.1,21.77,none,0,6,166,16.8
2022-06-16,Lahore,maize,37.39,56.68,0.26,4.14,431.5,25.81,none,0,6,167,13.6
2022-06-17,Lahore,maize,37.89,46.08,0.33,5.9,428.9,22.2,none,0,6,168,19.1
2022-06-18,Lahore,wheat,35.97,50.67,2.92,4.63,437.5,16.01,none,0,6,169,21.9
2022-06-19,Lahore,maize,38.58,57.5,1.47,4.36,471.2,28.58,none,0,6,170,10.9
2022-06-20,Lahore,wheat,37.59,54.25,1.39,5.04,431.2,23.7,none,0,6,171,16.2
2022-06-21,Lahore,rice,34.66,53.15,0.01,4.28,448.6,21.81,none,0,6,172,17.4
2022-06-22,Lahore,wheat,34.56,51.65,0.91,4.37,456.4,27.45,none,0,6,173,12.1
2022-06-23,Lahore,maize,37.47,51.14,1.01,5.43,489.8,21.94,none,0,6,174,18.4
2022-06-24,Lahore,wheat,37.15,53.98,0.41,4.29,450.2,22.28,none,0,6,175,16.9
2022-06-25,Lahore,wheat,37.32,51.98,0.07,4.55,480.9,25.7,none,0,6,176,14.3
2022-06-26,Lahore,cotton,37.41,52.98,1.59,5.04,489.3,29.82,none,0,6,177,10.6
2022-06-27,Lahore,maize,37.77,53.62,1.54,5.47,462.5,28.33,none,0,6,178,12.5
2022-06-28,Lahore,maize,38.83,50.75,0.54,5.91,461.5,23.89,none,0,6,179,17.5
2022-06-29,Lahore,sugarcane,35.72,55.76,2.66,4.24,461.1,26.35,none,0,6,180,12.2
2022-06-30,Lahore,maize,35.6,65.45,2.46,4.54,465.1,27.06,none,0,6,181,12.1
2022-07-01,Lahore,maize,35.68,58.09,20.4,4.06,492.3,24.67,none,0,7,182,6.4
